index,Average Return,Timesteps,env,algorithm_name
0,-204.11557467492256,0.0,HalfCheetah-v3,TD3_Q2a
1,-117.98796270770966,5000.0,HalfCheetah-v3,TD3_Q2a
2,-220.03790206008003,10000.0,HalfCheetah-v3,TD3_Q2a
3,-458.31597429111616,15000.0,HalfCheetah-v3,TD3_Q2a
4,-355.4051697705387,20000.0,HalfCheetah-v3,TD3_Q2a
5,-177.96265223863375,25000.0,HalfCheetah-v3,TD3_Q2a
6,-281.62271709114464,30000.0,HalfCheetah-v3,TD3_Q2a
7,537.7960286203223,35000.0,HalfCheetah-v3,TD3_Q2a
8,884.834224439542,40000.0,HalfCheetah-v3,TD3_Q2a
9,799.4233253871884,45000.0,HalfCheetah-v3,TD3_Q2a
10,1395.9080404898855,50000.0,HalfCheetah-v3,TD3_Q2a
11,1096.3564037506362,55000.0,HalfCheetah-v3,TD3_Q2a
12,831.1264279966639,60000.0,HalfCheetah-v3,TD3_Q2a
13,1740.7237553739064,65000.0,HalfCheetah-v3,TD3_Q2a
14,1684.2698373732305,70000.0,HalfCheetah-v3,TD3_Q2a
15,1893.7494913285186,75000.0,HalfCheetah-v3,TD3_Q2a
16,2542.0951834633197,80000.0,HalfCheetah-v3,TD3_Q2a
17,3033.076690931672,85000.0,HalfCheetah-v3,TD3_Q2a
18,3684.946329571081,90000.0,HalfCheetah-v3,TD3_Q2a
19,3699.492970939629,95000.0,HalfCheetah-v3,TD3_Q2a
20,3519.736289848078,100000.0,HalfCheetah-v3,TD3_Q2a
21,3791.917685812897,105000.0,HalfCheetah-v3,TD3_Q2a
22,3879.0848968975856,110000.0,HalfCheetah-v3,TD3_Q2a
23,4003.8461911553886,115000.0,HalfCheetah-v3,TD3_Q2a
24,4112.869946744505,120000.0,HalfCheetah-v3,TD3_Q2a
25,4193.875590302368,125000.0,HalfCheetah-v3,TD3_Q2a
26,4289.767997094876,130000.0,HalfCheetah-v3,TD3_Q2a
27,4944.566218399419,135000.0,HalfCheetah-v3,TD3_Q2a
28,5268.918064343034,140000.0,HalfCheetah-v3,TD3_Q2a
29,4729.2857179379625,145000.0,HalfCheetah-v3,TD3_Q2a
30,5246.417890378694,150000.0,HalfCheetah-v3,TD3_Q2a
31,5013.134488335572,155000.0,HalfCheetah-v3,TD3_Q2a
32,5612.250387443151,160000.0,HalfCheetah-v3,TD3_Q2a
33,5283.9256394650065,165000.0,HalfCheetah-v3,TD3_Q2a
34,5764.3355963721815,170000.0,HalfCheetah-v3,TD3_Q2a
35,5447.416098688118,175000.0,HalfCheetah-v3,TD3_Q2a
36,5788.992041835574,180000.0,HalfCheetah-v3,TD3_Q2a
37,5833.701125393401,185000.0,HalfCheetah-v3,TD3_Q2a
38,5248.338716017477,190000.0,HalfCheetah-v3,TD3_Q2a
39,6059.28247070402,195000.0,HalfCheetah-v3,TD3_Q2a
40,6070.356069320913,200000.0,HalfCheetah-v3,TD3_Q2a
41,6039.146428219477,205000.0,HalfCheetah-v3,TD3_Q2a
42,6205.174296881098,210000.0,HalfCheetah-v3,TD3_Q2a
43,6286.490131844321,215000.0,HalfCheetah-v3,TD3_Q2a
44,6278.5373718448745,220000.0,HalfCheetah-v3,TD3_Q2a
45,6131.241142362937,225000.0,HalfCheetah-v3,TD3_Q2a
46,6203.425503144682,230000.0,HalfCheetah-v3,TD3_Q2a
47,6377.491296771433,235000.0,HalfCheetah-v3,TD3_Q2a
48,6287.739813581019,240000.0,HalfCheetah-v3,TD3_Q2a
49,6183.440812390837,245000.0,HalfCheetah-v3,TD3_Q2a
50,6357.692670325233,250000.0,HalfCheetah-v3,TD3_Q2a
51,6451.385516591968,255000.0,HalfCheetah-v3,TD3_Q2a
52,6432.412699623798,260000.0,HalfCheetah-v3,TD3_Q2a
53,6434.6993988980485,265000.0,HalfCheetah-v3,TD3_Q2a
54,6509.478638284598,270000.0,HalfCheetah-v3,TD3_Q2a
55,6585.729148799944,275000.0,HalfCheetah-v3,TD3_Q2a
56,6539.128290293413,280000.0,HalfCheetah-v3,TD3_Q2a
57,6584.715835072758,285000.0,HalfCheetah-v3,TD3_Q2a
58,6644.019095193132,290000.0,HalfCheetah-v3,TD3_Q2a
59,6563.177048653668,295000.0,HalfCheetah-v3,TD3_Q2a
60,6819.211551960386,300000.0,HalfCheetah-v3,TD3_Q2a
61,5705.295409849916,305000.0,HalfCheetah-v3,TD3_Q2a
62,6358.726155469536,310000.0,HalfCheetah-v3,TD3_Q2a
63,6916.409291891432,315000.0,HalfCheetah-v3,TD3_Q2a
64,7206.8101636077945,320000.0,HalfCheetah-v3,TD3_Q2a
65,7283.212769106134,325000.0,HalfCheetah-v3,TD3_Q2a
66,7123.748677389068,330000.0,HalfCheetah-v3,TD3_Q2a
67,7300.546210581233,335000.0,HalfCheetah-v3,TD3_Q2a
68,6323.253770684018,340000.0,HalfCheetah-v3,TD3_Q2a
69,6806.157877065521,345000.0,HalfCheetah-v3,TD3_Q2a
70,7442.024468747596,350000.0,HalfCheetah-v3,TD3_Q2a
71,7761.774135836726,355000.0,HalfCheetah-v3,TD3_Q2a
72,7431.6409165172645,360000.0,HalfCheetah-v3,TD3_Q2a
73,7663.120441520786,365000.0,HalfCheetah-v3,TD3_Q2a
74,7647.963887553657,370000.0,HalfCheetah-v3,TD3_Q2a
75,7524.087260024304,375000.0,HalfCheetah-v3,TD3_Q2a
76,7532.6792460567785,380000.0,HalfCheetah-v3,TD3_Q2a
77,7414.501812095636,385000.0,HalfCheetah-v3,TD3_Q2a
78,7662.4945206529055,390000.0,HalfCheetah-v3,TD3_Q2a
79,8167.642236640111,395000.0,HalfCheetah-v3,TD3_Q2a
80,7184.9759168197215,400000.0,HalfCheetah-v3,TD3_Q2a
81,7893.098595824155,405000.0,HalfCheetah-v3,TD3_Q2a
82,7920.591761344532,410000.0,HalfCheetah-v3,TD3_Q2a
83,7920.783947107142,415000.0,HalfCheetah-v3,TD3_Q2a
84,7487.1759813118915,420000.0,HalfCheetah-v3,TD3_Q2a
85,8168.909734929456,425000.0,HalfCheetah-v3,TD3_Q2a
86,8136.0825510696795,430000.0,HalfCheetah-v3,TD3_Q2a
87,8069.448114042733,435000.0,HalfCheetah-v3,TD3_Q2a
88,8479.539399621828,440000.0,HalfCheetah-v3,TD3_Q2a
89,8266.079913721373,445000.0,HalfCheetah-v3,TD3_Q2a
90,8295.441719324623,450000.0,HalfCheetah-v3,TD3_Q2a
91,8090.930103302128,455000.0,HalfCheetah-v3,TD3_Q2a
92,8144.371766507589,460000.0,HalfCheetah-v3,TD3_Q2a
93,8556.594996842261,465000.0,HalfCheetah-v3,TD3_Q2a
94,8609.600476011565,470000.0,HalfCheetah-v3,TD3_Q2a
95,8646.168602997317,475000.0,HalfCheetah-v3,TD3_Q2a
96,8525.69182850083,480000.0,HalfCheetah-v3,TD3_Q2a
97,8483.393971696072,485000.0,HalfCheetah-v3,TD3_Q2a
98,8539.713597018528,490000.0,HalfCheetah-v3,TD3_Q2a
99,8667.593216162551,495000.0,HalfCheetah-v3,TD3_Q2a
100,8374.28978919623,500000.0,HalfCheetah-v3,TD3_Q2a
101,8800.449394798681,505000.0,HalfCheetah-v3,TD3_Q2a
102,8495.123636278291,510000.0,HalfCheetah-v3,TD3_Q2a
103,8244.573065103164,515000.0,HalfCheetah-v3,TD3_Q2a
104,8657.177314678,520000.0,HalfCheetah-v3,TD3_Q2a
105,8910.156229969221,525000.0,HalfCheetah-v3,TD3_Q2a
106,8590.854561547414,530000.0,HalfCheetah-v3,TD3_Q2a
107,8878.471285917405,535000.0,HalfCheetah-v3,TD3_Q2a
108,8650.508694219054,540000.0,HalfCheetah-v3,TD3_Q2a
109,9072.378856561627,545000.0,HalfCheetah-v3,TD3_Q2a
110,8981.964628515781,550000.0,HalfCheetah-v3,TD3_Q2a
111,9046.34747336434,555000.0,HalfCheetah-v3,TD3_Q2a
112,8755.901074169275,560000.0,HalfCheetah-v3,TD3_Q2a
113,8766.192679484868,565000.0,HalfCheetah-v3,TD3_Q2a
114,8592.418084893727,570000.0,HalfCheetah-v3,TD3_Q2a
115,9130.114609917871,575000.0,HalfCheetah-v3,TD3_Q2a
116,8519.667135787839,580000.0,HalfCheetah-v3,TD3_Q2a
117,8681.131972354739,585000.0,HalfCheetah-v3,TD3_Q2a
118,9017.708446019486,590000.0,HalfCheetah-v3,TD3_Q2a
119,9261.385406501942,595000.0,HalfCheetah-v3,TD3_Q2a
120,9082.886961019052,600000.0,HalfCheetah-v3,TD3_Q2a
121,9032.397179207366,605000.0,HalfCheetah-v3,TD3_Q2a
122,9221.491713724878,610000.0,HalfCheetah-v3,TD3_Q2a
123,9279.268977476797,615000.0,HalfCheetah-v3,TD3_Q2a
124,9028.142753108006,620000.0,HalfCheetah-v3,TD3_Q2a
125,8831.217875333336,625000.0,HalfCheetah-v3,TD3_Q2a
126,9207.956597978622,630000.0,HalfCheetah-v3,TD3_Q2a
127,9103.82084485339,635000.0,HalfCheetah-v3,TD3_Q2a
128,9358.579227941322,640000.0,HalfCheetah-v3,TD3_Q2a
129,9234.936662182252,645000.0,HalfCheetah-v3,TD3_Q2a
130,9124.606893450054,650000.0,HalfCheetah-v3,TD3_Q2a
131,9204.34203797563,655000.0,HalfCheetah-v3,TD3_Q2a
132,9144.44030125649,660000.0,HalfCheetah-v3,TD3_Q2a
133,9485.688406461735,665000.0,HalfCheetah-v3,TD3_Q2a
134,9303.073128826576,670000.0,HalfCheetah-v3,TD3_Q2a
135,9258.406956366656,675000.0,HalfCheetah-v3,TD3_Q2a
136,9625.510196787269,680000.0,HalfCheetah-v3,TD3_Q2a
137,9619.161507797186,685000.0,HalfCheetah-v3,TD3_Q2a
138,9523.31142412335,690000.0,HalfCheetah-v3,TD3_Q2a
139,9532.946594763553,695000.0,HalfCheetah-v3,TD3_Q2a
140,9537.552692578705,700000.0,HalfCheetah-v3,TD3_Q2a
141,9499.591663804891,705000.0,HalfCheetah-v3,TD3_Q2a
142,9313.911388823522,710000.0,HalfCheetah-v3,TD3_Q2a
143,9709.590277550293,715000.0,HalfCheetah-v3,TD3_Q2a
144,9736.61571406062,720000.0,HalfCheetah-v3,TD3_Q2a
145,9560.83588784322,725000.0,HalfCheetah-v3,TD3_Q2a
146,9696.907632870758,730000.0,HalfCheetah-v3,TD3_Q2a
147,9612.004405939608,735000.0,HalfCheetah-v3,TD3_Q2a
148,9850.495279575347,740000.0,HalfCheetah-v3,TD3_Q2a
149,9839.188933986123,745000.0,HalfCheetah-v3,TD3_Q2a
150,9383.542013826958,750000.0,HalfCheetah-v3,TD3_Q2a
151,9879.393068276655,755000.0,HalfCheetah-v3,TD3_Q2a
152,9562.48838067838,760000.0,HalfCheetah-v3,TD3_Q2a
153,9645.072459923862,765000.0,HalfCheetah-v3,TD3_Q2a
154,9693.28843633697,770000.0,HalfCheetah-v3,TD3_Q2a
155,9911.240760052637,775000.0,HalfCheetah-v3,TD3_Q2a
156,9778.639827018558,780000.0,HalfCheetah-v3,TD3_Q2a
157,9996.156128479175,785000.0,HalfCheetah-v3,TD3_Q2a
158,9782.24654878291,790000.0,HalfCheetah-v3,TD3_Q2a
159,9921.362399608392,795000.0,HalfCheetah-v3,TD3_Q2a
160,9962.375989153878,800000.0,HalfCheetah-v3,TD3_Q2a
161,9774.599649600394,805000.0,HalfCheetah-v3,TD3_Q2a
162,9842.041858230346,810000.0,HalfCheetah-v3,TD3_Q2a
163,9836.744167058107,815000.0,HalfCheetah-v3,TD3_Q2a
164,10027.562767690408,820000.0,HalfCheetah-v3,TD3_Q2a
165,9694.042350581401,825000.0,HalfCheetah-v3,TD3_Q2a
166,9875.048001294906,830000.0,HalfCheetah-v3,TD3_Q2a
167,10150.290039337775,835000.0,HalfCheetah-v3,TD3_Q2a
168,9913.706983085878,840000.0,HalfCheetah-v3,TD3_Q2a
169,10144.390240966164,845000.0,HalfCheetah-v3,TD3_Q2a
170,10121.395496720175,850000.0,HalfCheetah-v3,TD3_Q2a
171,10145.528081181208,855000.0,HalfCheetah-v3,TD3_Q2a
172,10359.046103517065,860000.0,HalfCheetah-v3,TD3_Q2a
173,10162.486609535506,865000.0,HalfCheetah-v3,TD3_Q2a
174,9753.60718600962,870000.0,HalfCheetah-v3,TD3_Q2a
175,10284.688065267499,875000.0,HalfCheetah-v3,TD3_Q2a
176,10144.060226611822,880000.0,HalfCheetah-v3,TD3_Q2a
177,10229.392427031959,885000.0,HalfCheetah-v3,TD3_Q2a
178,9897.532754353777,890000.0,HalfCheetah-v3,TD3_Q2a
179,10134.520829010247,895000.0,HalfCheetah-v3,TD3_Q2a
180,10140.528394471195,900000.0,HalfCheetah-v3,TD3_Q2a
181,10244.542946799933,905000.0,HalfCheetah-v3,TD3_Q2a
182,10312.572920791898,910000.0,HalfCheetah-v3,TD3_Q2a
183,10056.424734214344,915000.0,HalfCheetah-v3,TD3_Q2a
184,10001.031218141079,920000.0,HalfCheetah-v3,TD3_Q2a
185,10499.8203051829,925000.0,HalfCheetah-v3,TD3_Q2a
186,10347.079388638338,930000.0,HalfCheetah-v3,TD3_Q2a
187,9928.654455468471,935000.0,HalfCheetah-v3,TD3_Q2a
188,10191.510103093238,940000.0,HalfCheetah-v3,TD3_Q2a
189,10392.61389623694,945000.0,HalfCheetah-v3,TD3_Q2a
190,10250.681108416844,950000.0,HalfCheetah-v3,TD3_Q2a
191,10195.168939763173,955000.0,HalfCheetah-v3,TD3_Q2a
192,10479.919098304192,960000.0,HalfCheetah-v3,TD3_Q2a
193,9510.809581474177,965000.0,HalfCheetah-v3,TD3_Q2a
194,10009.342543868826,970000.0,HalfCheetah-v3,TD3_Q2a
195,10323.54852515186,975000.0,HalfCheetah-v3,TD3_Q2a
196,10475.541867091359,980000.0,HalfCheetah-v3,TD3_Q2a
197,10256.75337990348,985000.0,HalfCheetah-v3,TD3_Q2a
198,9930.622913817084,990000.0,HalfCheetah-v3,TD3_Q2a
199,10235.39504578176,995000.0,HalfCheetah-v3,TD3_Q2a
200,10265.778803906811,1000000.0,HalfCheetah-v3,TD3_Q2a
